ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA,LGA_NAME,LATITUDE,LONGITUDE,POSTCODE_CRASH,PED_OR_CYC,nearest_school,dist_to_gate_m
T20230002622,2023-10-01,17:30:00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,784347,1,0,0,1,0,1,2,5,Not at intersection,3,60,Local Road,MELTON,-37.706165,144.57446,3338.0,True,William Ruthven SC,37716.6
T20220028021,2022-10-12,01:19:00,2,Struck Pedestrian,7,Saturday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,3,751182,1,0,1,0,1,2,1,5,Not at intersection,2,80,Arterial Highway,KNOX,-37.88237,145.2762,3156.0,True,Reservoir HS,28046.0
T20230018147,2023-04-08,07:10:00,2,Struck Pedestrian,6,Friday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,2,779709,1,0,1,0,1,2,1,5,Not at intersection,2,60,Local Road,BALLARAT,-37.55337,143.79684,3350.0,True,William Ruthven SC,107410.0
T20250000262,2025-04-01,13:30:00,1,Collision with vehicle,7,Saturday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,813249,2,0,1,0,5,6,1,2,T intersection,2,999,Arterial Highway,DANDENONG,-37.990177,145.21368,3175.0,True,Preston HS,33048.9
T20210010028,2021-07-04,21:10:00,6,Vehicle overturned (no collision),4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),6,682522,1,0,0,1,0,1,2,2,T intersection,3,999,Local Road,KINGSTON,-37.9341,145.13255,3169.0,True,Preston HS,24063.7
T20250005747,2025-03-03,08:00:00,1,Collision with vehicle,2,Monday,132,RIGHT REAR.,1,815971,2,0,1,0,1,2,1,1,Cross intersection,2,50,Arterial Highway,WEST WIMMERA,-36.378967,141.24097,3419.0,True,William Ruthven SC,364605.7
T20220007703,2022-06-04,07:48:00,2,Struck Pedestrian,3,Wednesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,774198,1,0,0,1,1,2,1,5,Not at intersection,3,70,Arterial Highway,WHITEHORSE,-37.850594,145.119,3125.0,True,Preston HS,15597.6
T20220017606,2022-06-08,17:50:00,1,Collision with vehicle,7,Saturday,150,HEAD ON(OVERTAKING),3,723320,2,0,1,0,1,2,1,5,Not at intersection,2,80,Arterial Other,BAW BAW,-38.090385,145.7768,3816.0,True,Reservoir HS,77291.7
T20230028906,2023-06-12,11:04:00,1,Collision with vehicle,4,Wednesday,153,CUTTING IN (OVERTAKING),1,796207,2,0,0,1,1,2,1,5,Not at intersection,3,50,,MOORABOOL,-37.673603,144.4224,3340.0,True,William Ruthven SC,51154.2
T20210024989,2021-06-12,17:25:00,2,Struck Pedestrian,2,Monday,107,PED ON FOOTHPATH STRUCK BY VEHENTERING/LEAVING DRIVEWAY.,1,701614,1,0,0,1,1,2,1,5,Not at intersection,3,60,Arterial Highway,GEELONG,-38.150097,144.35228,3220.0,True,Preston HS,73206.3
T20230008541,2023-12-04,05:45:00,8,No collision and no object struck,4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),3,767379,1,0,1,0,0,1,1,2,T intersection,2,60,Arterial Highway,MELBOURNE,-37.788345,144.93211,3031.0,True,Preston HS,8387.7
T20220020103,2022-06-09,07:35:00,1,Collision with vehicle,3,Tuesday,135,LANE CHANGE LEFT (NOT OVERTAKING),1,724038,3,1,0,0,2,3,1,5,Not at intersection,1,60,Arterial Other,MONASH,-37.892853,145.10703,3149.0,True,Preston HS,18961.6
T20240015493,2024-10-06,12:00:00,2,Struck Pedestrian,2,Monday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,1,805258,1,0,0,1,0,1,2,2,T intersection,3,40,Local Road,SURF COAST,-38.330696,144.31648,3228.0,True,Preston HS,89149.4
T20240000232,2024-04-01,16:00:00,2,Struck Pedestrian,5,Thursday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,795131,1,0,0,1,1,2,2,2,T intersection,3,40,Local Road,FRANKSTON,-38.14194,145.12569,3199.0,True,Preston HS,45703.5
T20210010536,2021-10-05,08:20:00,1,Collision with vehicle,2,Monday,130,REAR END(VEHICLES IN SAME LANE),1,683553,2,0,0,1,0,1,2,5,Not at intersection,3,60,Local Road,CAMPASPE,-36.31527,145.04556,3620.0,True,William Ruthven SC,153636.7
T20220007973,2022-09-04,15:40:00,1,Collision with vehicle,6,Saturday,130,REAR END(VEHICLES IN SAME LANE),1,29413,2,0,0,1,1,2,1,1,Cross intersection,3,40,Arterial Other,MELBOURNE,-37.810135,144.94998,3003.0,True,Preston HS,9116.4
T20230022940,2023-01-10,15:57:00,2,Struck Pedestrian,1,Sunday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,1152,1,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Other,WYNDHAM,-37.853355,144.7389,3029.0,True,Preston HS,26635.7
T20210002768,2021-06-02,12:30:00,1,Collision with vehicle,7,Saturday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,680635,2,0,0,1,1,2,1,5,Not at intersection,3,999,Local Road,MAROONDAH,-37.793625,145.2961,3136.0,True,Reservoir HS,24747.4
T20240017228,2024-12-06,14:30:00,4,Collision with a fixed object,4,Wednesday,194,PARKED CAR RUN AWAY,1,806121,1,0,0,1,0,1,2,5,Not at intersection,3,50,Local Road,CASEY,-38.116394,145.24986,3977.0,True,Preston HS,46789.3
T20210001772,2021-08-01,19:30:00,8,No collision and no object struck,5,Friday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),9,682648,1,0,0,1,0,1,2,5,Not at intersection,3,999,Local Road,LATROBE,-38.258022,146.292,3840.0,True,Reservoir HS,125656.7
