ACCIDENT_NO,nearest_school,serious_or_fatal,hour,day_of_week,month,is_weekend,is_school_hours,speed_zone_num,is_high_speed_zone,road_geometry_code,no_of_vehicles,light_condition_code,is_dark,dist_to_gate_m,near_school_400m,walk_edges_200m,walk_length_200m,footpath_length_200m,footpath_pct_200m,road_count_200m,arterial_count_200m,arterial_pct_200m,avg_speed_200m,high_speed_road_200m,crossings_200m,signals_200m,crossing_density_200m,walk_edges_400m,walk_length_400m,footpath_length_400m,footpath_pct_400m,road_count_400m,arterial_count_400m,arterial_pct_400m,avg_speed_400m,high_speed_road_400m,crossings_400m,signals_400m,crossing_density_400m,walk_edges_800m,walk_length_800m,footpath_length_800m,footpath_pct_800m,road_count_800m,arterial_count_800m,arterial_pct_800m,avg_speed_800m,high_speed_road_800m,crossings_800m,signals_800m,crossing_density_800m
T20240016604,Preston HS,1,10,0,7,0,0,40,0,1,1,1,0,7501.8,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20220007463,Preston HS,0,8,4,4,0,1,60,1,5,2,1,0,2271.7,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20240000384,Reservoir HS,0,10,5,1,1,0,80,1,9,1,1,0,51285.2,0,318,8036.7,4711.7,58.63,12,7,58.33,60.0,5.0,13,5.0,1.62,716,29836.7,16597.8,55.63,51,18,35.29,60.0,10,34,12,1.14,2860,153257.5,92626.4,60.44,378,91,24.07,58.0,55,192,23,1.25
T20230005138,Preston HS,0,14,4,3,0,1,60,1,5,3,1,0,12797.3,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20240011787,Preston HS,0,15,2,5,0,1,40,0,2,1,1,0,8349.7,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20220022894,Preston HS,0,15,1,10,0,1,60,1,5,2,1,0,10620.2,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20210020629,William Ruthven SC,0,17,0,10,0,1,50,0,5,1,1,0,292414.5,0,120,3395.7,1896.7,55.86,12,0,0.0,,,11,,3.24,788,35787.7,18178.5,50.8,133,20,15.04,70.0,16,60,3,1.68,3116,146195.4,79077.2,54.09,527,67,12.71,65.2,58,201,13,1.37
T20220022159,Preston HS,1,12,6,10,1,0,60,1,5,2,1,0,70570.3,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20220014998,Preston HS,0,5,1,7,0,0,40,0,5,2,3,1,7009.3,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20230023055,Preston HS,0,8,1,10,0,1,40,0,1,1,1,0,8168.4,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20240027655,Preston HS,0,16,1,9,0,1,60,1,1,2,9,1,6488.9,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20230023402,William Ruthven SC,1,11,5,10,1,0,70,1,5,1,1,0,63976.9,0,120,3395.7,1896.7,55.86,12,0,0.0,,,11,,3.24,788,35787.7,18178.5,50.8,133,20,15.04,70.0,16,60,3,1.68,3116,146195.4,79077.2,54.09,527,67,12.71,65.2,58,201,13,1.37
T20230018615,Preston HS,1,17,2,8,0,1,999,1,2,1,1,0,862.2,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20250006275,Preston HS,0,19,4,3,0,0,40,0,2,2,2,1,9602.8,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20250018573,Preston HS,1,13,5,7,1,0,60,1,2,1,1,0,16939.5,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
T20250018907,Preston HS,0,13,6,5,1,0,50,0,2,1,1,0,82274.2,0,276,9584.3,4862.6,50.73,18,6,33.33,55.0,6.0,18,,1.88,1346,56159.2,28387.1,50.55,142,45,31.69,42.3,23,84,7,1.5,5622,231825.2,129443.2,55.84,621,202,32.53,46.3,106,425,27,1.83
